event,reserve_code,station,station_name,parameter,min,max,mean,median
Matthew,noc,nocrcwq,Research Creek (RC),cdepth,3.3136484,9.8097116,6.06422907643979,5.9383204
Matthew,noc,noczbwq,Zeke's Basin (ZB),cdepth,0.1312336,6.6272968,2.51330666317627,2.4278216
Matthew,noc,nocrcwq,Research Creek (RC),chlfluor,1.2,45.9,3.71448516579407,3.4
Matthew,noc,nocrcwq,Research Creek (RC),depth,3.28084,9.1535436,6.06245410191972,6.0039372
Matthew,noc,noczbwq,Zeke's Basin (ZB),depth,-0.3608924,5.9383204,2.5115316886562,2.3950132
Matthew,noc,nocrcwq,Research Creek (RC),do_mgl,5,7.4,6.45148342059337,6.5
Matthew,noc,noczbwq,Zeke's Basin (ZB),do_mgl,0.3,8.3,6.49249563699825,6.7
Matthew,noc,nocrcwq,Research Creek (RC),do_pct,69.9,107.4,90.6134380453752,91
Matthew,noc,noczbwq,Zeke's Basin (ZB),do_pct,3.8,97.3,80.8232111692845,83.8
Matthew,noc,nocrcwq,Research Creek (RC),ph,7.8,8.2,7.9979057591623,8
Matthew,noc,noczbwq,Zeke's Basin (ZB),ph,6.9,7.8,7.42879581151832,7.4
Matthew,noc,nocrcwq,Research Creek (RC),sal,26.6,33.8,31.2364746945899,32
Matthew,noc,noczbwq,Zeke's Basin (ZB),sal,11.4,19.7,14.2862129144852,13.9
Matthew,noc,nocrcwq,Research Creek (RC),spcond,41.46,51.44,47.8912565445026,48.95
Matthew,noc,noczbwq,Zeke's Basin (ZB),spcond,19.1,31.62,23.5507853403141,23.04
Matthew,noc,nocrcwq,Research Creek (RC),temp,65.48,77.9,74.1379057591623,75.2
Matthew,noc,noczbwq,Zeke's Basin (ZB),temp,62.6,77.54,72.0275392670157,72.86
Matthew,noc,nocrcwq,Research Creek (RC),turb,2,88,9.59162303664922,5
Matthew,noc,noczbwq,Zeke's Basin (ZB),turb,-1,947,66.9028268551237,19
